Timestamp,Attention,Meditation,Label
1761138522.2887223,38,54,thumbs_up
1761138522.5334725,29,51,thumbs_up
1761138522.7505944,44,53,thumbs_up
1761138523.6432924,67,54,thumbs_up
1761138524.6478667,75,54,thumbs_up
1761138525.6479673,70,57,thumbs_up
1761138526.6469107,81,41,thumbs_up
1761138527.6529095,78,53,thumbs_up
1761138528.6474829,77,63,thumbs_up
1761138529.650745,70,63,thumbs_up
1761138530.65224,70,66,thumbs_up
1761138531.6444798,66,74,thumbs_up
1761138532.6443474,66,66,thumbs_up
1761138533.6594758,78,57,thumbs_up
1761138534.6946127,63,69,thumbs_up
1761138535.6873147,64,67,thumbs_up
1761138536.6873326,77,64,thumbs_up
1761138537.6933043,77,70,thumbs_up
1761138538.6885867,94,53,thumbs_up
1761138539.6764376,100,48,thumbs_up
1761138540.677395,93,47,thumbs_up
1761138541.679591,88,53,thumbs_up
1761138542.6733747,87,60,thumbs_up
1761138543.6771488,80,63,thumbs_up
1761138544.6683345,77,74,thumbs_up
1761138545.663732,78,63,thumbs_up
1761138546.6635025,61,77,thumbs_up
1761138547.6636782,61,67,thumbs_up
1761138548.6659508,66,56,thumbs_up
1761138549.6521554,69,60,thumbs_up
1761138550.6535997,74,61,thumbs_up
1761138551.6518872,77,57,thumbs_up
1761138552.6571832,77,64,thumbs_up
1761138553.6543863,80,64,thumbs_up
1761138554.655882,84,56,thumbs_up
1761138555.6473331,75,66,thumbs_up
1761138556.6487703,66,67,thumbs_up
1761138557.6473153,40,57,thumbs_up
1761138558.6451485,44,50,thumbs_up
1761138559.647469,53,51,thumbs_up
1761138560.6488292,60,54,thumbs_up
1761138561.6476429,84,51,thumbs_up
1761138562.6559598,70,57,thumbs_up
1761138563.6560595,75,60,thumbs_up
1761138564.649119,80,57,thumbs_up
1761138565.6486778,74,61,thumbs_up
1761138566.6449668,78,60,thumbs_up
1761138567.648912,77,51,thumbs_up
1761138568.652389,56,57,thumbs_up
1761138569.6436195,54,67,thumbs_up
1761138570.6489458,54,67,thumbs_up
1761138571.6464517,57,70,thumbs_up
1761138572.6494122,67,67,thumbs_up
1761138573.6475954,63,61,thumbs_up
1761138574.6525297,67,64,thumbs_up
1761138575.6543877,66,70,thumbs_up
1761138576.6424775,75,57,thumbs_up
1761138577.6441057,63,57,thumbs_up
1761138578.645499,60,60,thumbs_up
1761138579.6852107,56,57,thumbs_up
1761138580.688064,61,57,thumbs_up
1761138581.7043033,77,70,thumbs_up
1761138582.6831534,81,67,thumbs_up
1761138583.6903224,84,69,thumbs_up
1761138584.6731598,88,56,thumbs_up
1761138585.6805089,84,48,thumbs_up
1761138586.6753736,78,53,thumbs_up
1761138587.6792927,80,50,thumbs_up
1761138588.6630392,66,56,thumbs_up
1761138589.6856499,74,51,thumbs_up
1761138590.666906,66,60,thumbs_up
1761138591.6642563,63,60,thumbs_up
1761138592.6718602,64,74,thumbs_up
1761138593.6629715,66,83,thumbs_up
1761138594.655639,83,70,thumbs_up
1761138595.6605794,80,75,thumbs_up
1761138596.657414,67,69,thumbs_up
1761138597.6570268,63,64,thumbs_up
1761138598.6499114,54,64,thumbs_up
1761138599.66195,54,70,thumbs_up
1761138600.6572554,63,66,thumbs_up
1761138601.6584525,53,66,thumbs_up
1761138602.6657875,38,51,thumbs_up
1761138603.6572256,35,48,thumbs_up
1761138604.6581187,34,60,thumbs_up
1761138605.6685088,48,54,thumbs_up
1761138606.6610768,64,69,thumbs_up
1761138607.6531646,78,60,thumbs_up
1761138608.6544046,84,54,thumbs_up
1761138609.655992,78,63,thumbs_up
1761138610.6609986,81,53,thumbs_up
1761138611.6569784,77,60,thumbs_up
1761138612.6533573,80,53,thumbs_up
1761138613.6576107,74,51,thumbs_up
1761138614.6534605,63,54,thumbs_up
1761138615.6532533,66,47,thumbs_up
1761138616.6619372,56,48,thumbs_up
1761138617.6635125,61,38,thumbs_up
1761138618.6507838,69,40,thumbs_up
1761138619.6447413,63,43,thumbs_up
1761138640.6526284,35,78,thumbs_down
1761138641.6563182,23,61,thumbs_down
1761138642.6600325,13,70,thumbs_down
1761138643.6449857,8,81,thumbs_down
1761138644.6476853,23,84,thumbs_down
1761138645.6553066,37,100,thumbs_down
1761138646.6426466,53,83,thumbs_down
1761138647.6476433,60,80,thumbs_down
1761138648.6868517,57,87,thumbs_down
1761138649.6981251,57,93,thumbs_down
1761138650.6843667,50,100,thumbs_down
1761138651.688125,38,91,thumbs_down
1761138652.6968708,34,87,thumbs_down
1761138653.7017407,30,83,thumbs_down
1761138654.676833,34,83,thumbs_down
1761138655.6780286,29,91,thumbs_down
1761138656.681686,29,87,thumbs_down
1761138657.6779644,38,78,thumbs_down
1761138658.6631415,27,70,thumbs_down
1761138659.6653464,40,70,thumbs_down
1761138660.673133,44,70,thumbs_down
1761138661.6640785,37,70,thumbs_down
1761138662.6653824,47,84,thumbs_down
1761138663.6543539,37,81,thumbs_down
1761138664.6572928,35,90,thumbs_down
1761138665.6528947,43,81,thumbs_down
1761138666.653697,34,80,thumbs_down
1761138667.6696007,34,81,thumbs_down
1761138668.64825,34,81,thumbs_down
1761138669.6429565,23,97,thumbs_down
1761138670.6454365,27,100,thumbs_down
1761138671.6606753,37,100,thumbs_down
1761138672.6479053,34,97,thumbs_down
1761138673.6847212,26,100,thumbs_down
1761138674.6857674,23,87,thumbs_down
1761138675.683515,16,93,thumbs_down
1761138676.6897054,17,87,thumbs_down
1761138677.688366,21,80,thumbs_down
1761138678.6859994,23,84,thumbs_down
1761138679.6750407,30,66,thumbs_down
1761138680.678373,34,69,thumbs_down
1761138681.6797853,35,69,thumbs_down
1761138682.6736128,35,75,thumbs_down
1761138683.6658041,21,90,thumbs_down
1761138684.662228,23,100,thumbs_down
1761138685.690837,16,100,thumbs_down
1761138686.6624565,23,93,thumbs_down
1761138687.6647294,23,96,thumbs_down
1761138688.6548297,16,78,thumbs_down
1761138689.6575272,26,61,thumbs_down
1761138690.6536844,16,48,thumbs_down
1761138691.6561806,21,26,thumbs_down
1761138692.652275,20,35,thumbs_down
1761138693.6471834,17,53,thumbs_down
1761138694.6464436,21,84,thumbs_down
1761138695.651021,23,97,thumbs_down
1761138696.6710165,27,100,thumbs_down
1761138697.650091,34,100,thumbs_down
1761138698.6864007,27,88,thumbs_down
1761138699.68528,21,88,thumbs_down
1761138700.6876664,26,84,thumbs_down
1761138701.687948,23,88,thumbs_down
1761138702.68513,29,100,thumbs_down
1761138703.6838217,37,100,thumbs_down
1761138704.6771145,24,94,thumbs_down
1761138705.6749463,23,74,thumbs_down
1761138706.6765473,21,48,thumbs_down
1761138707.698299,24,29,thumbs_down
1761138708.663049,23,48,thumbs_down
1761138709.6634192,24,75,thumbs_down
1761138710.6783764,35,87,thumbs_down
1761138711.6650522,35,91,thumbs_down
1761138712.6652563,35,93,thumbs_down
1761138713.6577685,34,77,thumbs_down
1761138714.6603851,21,78,thumbs_down
1761138715.653952,20,94,thumbs_down
1761138716.6536484,23,84,thumbs_down
1761138717.6527984,23,88,thumbs_down
1761138718.64518,21,88,thumbs_down
1761138719.650157,20,90,thumbs_down
1761138720.6475027,20,97,thumbs_down
1761138721.647996,24,100,thumbs_down
1761138722.643733,23,100,thumbs_down
1761138723.6881473,17,90,thumbs_down
1761138724.6882038,24,66,thumbs_down
1761138725.6918924,23,48,thumbs_down
1761138726.6893294,35,43,thumbs_down
1761138727.6879523,44,47,thumbs_down
1761138728.6776903,41,67,thumbs_down
1761138729.6754785,34,90,thumbs_down
1761138730.6740787,34,91,thumbs_down
1761138731.675528,29,91,thumbs_down
1761138732.6805375,24,90,thumbs_down
1761138733.670766,37,70,thumbs_down
1761138734.6654644,24,75,thumbs_down
1761138735.6632485,23,75,thumbs_down
1761138736.6642866,29,74,thumbs_down
1761138737.6657646,29,78,thumbs_down
1761138738.658034,41,84,thumbs_down
1761138739.6619232,50,87,thumbs_down
